index,factoid_ID,pers_ID,pers_name,alternative_names,event_type,event_after-date,event_before-date,event_start,event_end,event_date,pers_title,pers_function,place_name,inst_name,rel_pers,source_quotations,additional_info,comment,info_dump,source
2310,reconstruction,OCR,Florentin Holtzweiler,"Kramer, Kremer",Studium,NaN,NaN,1461 # 1465 # 1465-10-22,NaN,1461 # 1465 # 1465-10-22,NaN,Student,"Heidelberg, Köln",NaN,NaN,NaN,"aus Holzweiler studierte in Köln 1461, Heidelberg 1465, dort am 22.10.1465 immatrikuliert",NaN,NaN," Praetorius, Professoren, S.96; 
 Matr. Heidelberg I, S.315; 
 II, S.407, 517, 533) 
"
2352,6647,OCR,Franciscus Rath,NaN,Funktionsausübung,NaN,NaN,1692 # 1693 # 1701 # 1702,1692 # 1693 # 1701 # 1702,NaN,NaN,Lehrer,Mainz,"Universität Mainz, Philosophische Fakultät",NaN,NaN,"in Mainz lehrte er an der Artistenfakultät 1692 Humaniora, 1693 Rhetorik, 1701 Logik und 1702 Physik",NaN,NaN," Cat. Jes.1700, B1.3v Nr.9; 
 RPh 37r; 
 Heß, Nr.2672; 
 Weber, S.622; 
 Krafft, Jesuiten, S.343) 
"
2359,1024,OCR,Franz (Theodor) Hardy,NaN,Immatrikulation,NaN,NaN,1726 # 1728 # 1735,1726 # 1728 # 1735,NaN,NaN,Professor,"Fulda, Würzburg",NaN,NaN,NaN,"1726 als Professor der Logik in Würzburg immatrikuliert, 1728 Professor der Physik in Würzburg und ab November 1735 Professor der Theologie in Fulda",NaN,NaN," RPh 59v, 62v; 
 Cat. Jes.1726, S.34 Nr.17 hier: * 30.3.1693; 
 Reindl, S.93; 
 Prot, theol. Fak.1739, Bl.46a; 
 Matr. Würzburg, Nr.13821) 
"
2362,reconstruction,OCR,Franz (Theodor) Hardy,NaN,Studium,NaN,NaN,1726 # 1728 # 1735,NaN,1726 # 1728 # 1735,NaN,Professor,"Fulda, Würzburg",NaN,NaN,NaN,"1726 als Professor der Logik in Würzburg immatrikuliert, 1728 Professor der Physik in Würzburg und ab November 1735 Professor der Theologie in Fulda",NaN,NaN," RPh 59v, 62v; 
 Cat. Jes.1726, S.34 Nr.17 hier: * 30.3.1693; 
 Reindl, S.93; 
 Prot, theol. Fak.1739, Bl.46a; 
 Matr. Würzburg, Nr.13821) 
"
2363,1022,OCR,Franz (Theodor) Hardy,NaN,Studium,NaN,NaN,1709 # 1710,1709 # 1710,NaN,"bacc., phil./mag., phil.",Student,Mainz,Universität Mainz],NaN,NaN,"studierte in Mainz, 1709 bacc. phil., 1710 mag. phil.",NaN,NaN," RPh 59v, 62v; 
 Cat. Jes.1726, S.34 Nr.17 hier: * 30.3.1693; 
 Reindl, S.93; 
 Prot, theol. Fak.1739, Bl.46a; 
 Matr. Würzburg, Nr.13821) 
"
2401,2967,OCR,Franz Anton Chrysostomus Dürr,NaN,Funktionsausübung,1773,1779,1759 # 1762 # 1766 # 1769 # 1771 # 1782 # 1783 # 1788,1759 # 1762 # 1766 # 1769 # 1771 # 1782 # 1783 # 1788,NaN,NaN,Dekan,Mainz,Universität Mainz],NaN,NaN,"er war Dekan der Juristischen Fakultät in Mainz 1759, 1762, 1766, 1769, 1771, 1773-1779, 1782, 1783, 1788 und 1789",NaN,NaN," Praetorius, Professoren, S.99; 
 Pick, Reichsstaatsrecht, S.222-224; 
 Matr. Göttingen 2936; 
 Prot. jur. Fac., B1.82r, 84v, 86r; 
 RPh 187r, 190v; 
 RR I 79v; 
 Schmidt-Scharff, S.303; 
 Mundt, Verzeichnis 1, Nr.323, 659, 7025, 9967, 11117; 
 Waldmann, S.33-37; 
 Helmut Mathy, Franz Anton Dürr, ein Mainzer Historiker des 18. Jahrhunderts, in: Mainzer Almanach 1969, S.61-80; 
 ders., Die Vorschläge des Historikers und Juristen Franz Anton Dürr zur Reform der Mainzer Universität 1782, in: Jahrbuch der Vereinigung ""Freunde der Universität Mainz"" 1970, S.72-87; 
 ders., Franz Anton Dürr und die Gutenberg-Forschung an der Mainzer Universität im Jahr 1784, in: GutenbergJahrbuch 1970, S.73-82; 
 A.Ph. Brück, Um die Reform der Mainzer Juristischen und Medizinischen Fakultät im 18. Jahrhundert, in: Die Alte Mainzer Universität, Mainz 1946, S.52-65, 84-86 hier: * 19.1.1729) 
"
2402,2967,OCR,Franz Anton Chrysostomus Dürr,NaN,Funktionsausübung,1773,1779,1759 # 1762 # 1766 # 1769 # 1771 # 1782 # 1783 # 1788,1759 # 1762 # 1766 # 1769 # 1771 # 1782 # 1783 # 1788,NaN,NaN,Jurist,Mainz,Universität Mainz],NaN,NaN,"er war Dekan der Juristischen Fakultät in Mainz 1759, 1762, 1766, 1769, 1771, 1773-1779, 1782, 1783, 1788 und 1789",NaN,NaN," Praetorius, Professoren, S.99; 
 Pick, Reichsstaatsrecht, S.222-224; 
 Matr. Göttingen 2936; 
 Prot. jur. Fac., B1.82r, 84v, 86r; 
 RPh 187r, 190v; 
 RR I 79v; 
 Schmidt-Scharff, S.303; 
 Mundt, Verzeichnis 1, Nr.323, 659, 7025, 9967, 11117; 
 Waldmann, S.33-37; 
 Helmut Mathy, Franz Anton Dürr, ein Mainzer Historiker des 18. Jahrhunderts, in: Mainzer Almanach 1969, S.61-80; 
 ders., Die Vorschläge des Historikers und Juristen Franz Anton Dürr zur Reform der Mainzer Universität 1782, in: Jahrbuch der Vereinigung ""Freunde der Universität Mainz"" 1970, S.72-87; 
 ders., Franz Anton Dürr und die Gutenberg-Forschung an der Mainzer Universität im Jahr 1784, in: GutenbergJahrbuch 1970, S.73-82; 
 A.Ph. Brück, Um die Reform der Mainzer Juristischen und Medizinischen Fakultät im 18. Jahrhundert, in: Die Alte Mainzer Universität, Mainz 1946, S.52-65, 84-86 hier: * 19.1.1729) 
"
2446,5570,OCR,Franz Christoph Dichtel,Düchtel,Funktionsausübung,NaN,NaN,1782-12-26 # 1783,1782-12-26 # 1783,NaN,NaN,Sonstiges,NaN,NaN,NaN,NaN,"die Gehaltsliste vom 26.12.1782 enthält nicht mehr seinen Namen, auch im Sommersemester 1783 wird er im Vorlesungsverzeichnis nicht mehr geführt",NaN,NaN," Praetorius, Professoren, S.138; 
 RR II 288; 
 Hofkal.1780, S.166; 
 1781, S.173; 
 Horst-Wilh. Jung, Anselm Franz von Bentzel im Dienste der Kurfürsten von Mainz, Wiesbaden 1966, * Beiträge zur Geschichte der Universität Mainz, Bd. 7, S.97) 
"
2474,1988,OCR,Franz Christoph Scheidel,NaN,Funktionsausübung,NaN,NaN,1802 # 1826,1802 # 1826,NaN,NaN,Pfarrer,Aschaffenburg,NaN,NaN,NaN,mit seinem Landesherrn zog er beim Herannahen der Franzosen nach Aschaffenburg und war dort von 1802 bis 1826 Pfarrer von St.Agatha,NaN,NaN," Praetorius, Professoren, S.96; 
 RR II 3, 15, 65, 97, 291; 
 RPh 276v; 
 RTh 75r, 79r, 83v; 
 Prot, theol. Fak.1770, Bl.72b; 
 1770, Bl.73a; 
 1773, Bl.74a; 
 1779, Bl.82; 
 Rechnung 1768, S. 60; 
 1771, S.66; 
 1772, S.68; 
 Gen. Vik. Prot. 1767, S.325; 
 Hofkal.1788, S.18 u. 76; 
 1797, S.15 u. 30; 
 Necr. Herbip., S.195; 
 Amrhein, S.203; 
 Zaun, Rheingau, S.70 u. 350; 
 Brück, Pr. Sem., S.61; 
 Brück, Theol. Fak., S.54 Anm.26 und S.155; 
 Scherg, Hochschulstadt 1, S.83-87; 
 Scherg, Schulwesen, T.2, S.507 f.; 
 Aschaffenburger Jahrbuch 3, 1956, S. 125 f. und S.131) 
"
2475,1990,OCR,Franz Christoph Scheidel,NaN,Funktionsausübung,NaN,NaN,1807 # 1808 # 1823,1807 # 1808 # 1823,NaN,NaN,Priester,Aschaffenburg,Priesterseminar Aschaffenburg,NaN,NaN,1807 war er Regens des neugegründeten Priesterseminars in Aschaffenburg und von 1808 bis 1823 Professor der Dogmatik an der Universität zu Aschaffenburg,NaN,NaN," Praetorius, Professoren, S.96; 
 RR II 3, 15, 65, 97, 291; 
 RPh 276v; 
 RTh 75r, 79r, 83v; 
 Prot, theol. Fak.1770, Bl.72b; 
 1770, Bl.73a; 
 1773, Bl.74a; 
 1779, Bl.82; 
 Rechnung 1768, S. 60; 
 1771, S.66; 
 1772, S.68; 
 Gen. Vik. Prot. 1767, S.325; 
 Hofkal.1788, S.18 u. 76; 
 1797, S.15 u. 30; 
 Necr. Herbip., S.195; 
 Amrhein, S.203; 
 Zaun, Rheingau, S.70 u. 350; 
 Brück, Pr. Sem., S.61; 
 Brück, Theol. Fak., S.54 Anm.26 und S.155; 
 Scherg, Hochschulstadt 1, S.83-87; 
 Scherg, Schulwesen, T.2, S.507 f.; 
 Aschaffenburger Jahrbuch 3, 1956, S. 125 f. und S.131) 
"
2476,1990,OCR,Franz Christoph Scheidel,NaN,Funktionsausübung,NaN,NaN,1807 # 1808 # 1823,1807 # 1808 # 1823,NaN,NaN,Professor,Aschaffenburg,Priesterseminar Aschaffenburg,NaN,NaN,1807 war er Regens des neugegründeten Priesterseminars in Aschaffenburg und von 1808 bis 1823 Professor der Dogmatik an der Universität zu Aschaffenburg,NaN,NaN," Praetorius, Professoren, S.96; 
 RR II 3, 15, 65, 97, 291; 
 RPh 276v; 
 RTh 75r, 79r, 83v; 
 Prot, theol. Fak.1770, Bl.72b; 
 1770, Bl.73a; 
 1773, Bl.74a; 
 1779, Bl.82; 
 Rechnung 1768, S. 60; 
 1771, S.66; 
 1772, S.68; 
 Gen. Vik. Prot. 1767, S.325; 
 Hofkal.1788, S.18 u. 76; 
 1797, S.15 u. 30; 
 Necr. Herbip., S.195; 
 Amrhein, S.203; 
 Zaun, Rheingau, S.70 u. 350; 
 Brück, Pr. Sem., S.61; 
 Brück, Theol. Fak., S.54 Anm.26 und S.155; 
 Scherg, Hochschulstadt 1, S.83-87; 
 Scherg, Schulwesen, T.2, S.507 f.; 
 Aschaffenburger Jahrbuch 3, 1956, S. 125 f. und S.131) 
"
2482,1986,OCR,Franz Christoph Scheidel,NaN,Funktionsausübung,1783 # 26.9.1783,1787,NaN,NaN,NaN,NaN,Dekan,NaN,"Universität Mainz, Theologische Fakultät",NaN,NaN,1783-1787 war er Dekan der Theologischen Fakultät (ernannt am 26.9.1783) und zusammen mit Joh. Jung vom 28.8.1787-28.8.1788,NaN,NaN," Praetorius, Professoren, S.96; 
 RR II 3, 15, 65, 97, 291; 
 RPh 276v; 
 RTh 75r, 79r, 83v; 
 Prot, theol. Fak.1770, Bl.72b; 
 1770, Bl.73a; 
 1773, Bl.74a; 
 1779, Bl.82; 
 Rechnung 1768, S. 60; 
 1771, S.66; 
 1772, S.68; 
 Gen. Vik. Prot. 1767, S.325; 
 Hofkal.1788, S.18 u. 76; 
 1797, S.15 u. 30; 
 Necr. Herbip., S.195; 
 Amrhein, S.203; 
 Zaun, Rheingau, S.70 u. 350; 
 Brück, Pr. Sem., S.61; 
 Brück, Theol. Fak., S.54 Anm.26 und S.155; 
 Scherg, Hochschulstadt 1, S.83-87; 
 Scherg, Schulwesen, T.2, S.507 f.; 
 Aschaffenburger Jahrbuch 3, 1956, S. 125 f. und S.131) 
"
2483,1977,OCR,Franz Christoph Scheidel,NaN,Funktionsausübung,NaN,NaN,1767-09-02 # 1768,1767-09-02 # 1768,NaN,NaN,Priester,Mainz,Universität Mainz],NaN,NaN,am 2.9.1767 wurde er für das Priesterseminar in Mainz vorgeschlagen und dort 1768 aufgenommen,NaN,NaN," Praetorius, Professoren, S.96; 
 RR II 3, 15, 65, 97, 291; 
 RPh 276v; 
 RTh 75r, 79r, 83v; 
 Prot, theol. Fak.1770, Bl.72b; 
 1770, Bl.73a; 
 1773, Bl.74a; 
 1779, Bl.82; 
 Rechnung 1768, S. 60; 
 1771, S.66; 
 1772, S.68; 
 Gen. Vik. Prot. 1767, S.325; 
 Hofkal.1788, S.18 u. 76; 
 1797, S.15 u. 30; 
 Necr. Herbip., S.195; 
 Amrhein, S.203; 
 Zaun, Rheingau, S.70 u. 350; 
 Brück, Pr. Sem., S.61; 
 Brück, Theol. Fak., S.54 Anm.26 und S.155; 
 Scherg, Hochschulstadt 1, S.83-87; 
 Scherg, Schulwesen, T.2, S.507 f.; 
 Aschaffenburger Jahrbuch 3, 1956, S. 125 f. und S.131) 
"
2508,5608,OCR,Franz Dorn,NaN,Funktionsausübung,1708,1710,1716-11-26 # 1717-12-28 # 1719-09-01,1716-11-26 # 1717-12-28 # 1719-09-01,NaN,NaN,Professor,"Bamberg, Mainz","Universität Mainz, Philosophische Fakultät",NaN,NaN,"1708-1710 war er Professor der Logik in Bamberg, später Assessor der Artistenfakultät in Mainz, wo er am 26.11.1716, 28.12.1717 und 1.9.1719 die Fakultätsrechnungen unterschrieb",NaN,NaN," Cat. Jes.1700, S.18 Nr.10; 
 Ordinat.1676/ 1702, S.120; 
 Heß, Nr.4235; 
 Weber, S.628 f.; 
 RPh 87r, 91r, 95r, lOOr) 
"
2583,6027,OCR,Franz Günther,Günter,Funktionsausübung,NaN,NaN,1740 # 1741,1740 # 1741,NaN,NaN,Lehrer,Mainz,Universität Mainz],NaN,NaN,1740 lehrte er in Mainz Physik und Ethik und war 1741 Promotor,NaN,NaN," Praetorius, Professoren, S.137; 
 Cat. Jes. 1726, S.24 Nr.11; 
 Krafft, Jesuiten, S.334; 
 RPh 169v, 171r, 177r, 177v; 
 Senatsprot. II, Bl.14v; 
 Matr. Würzburg, Nr.14394; 
 Hofkal. 1741, S.66) 
"
2590,6037,OCR,Franz Hack,NaN,Funktionsausübung,NaN,NaN,1680 # 1682 # 1683 # 1684 # 1685,1680 # 1682 # 1683 # 1684 # 1685,NaN,NaN,Lehrer,Mainz,"Universität Mainz, Philosophische Fakultät",NaN,NaN,"er war in Mainz Professor an der Artistenfakultät und lehrte 1680 Humaniora, 1682 Logik, 1683 Physik, 1684 Metaphysik und Ethik und war 1685 Promotor",NaN,NaN," Cat. Jes.1700, S.21 Nr.4; 
 Aula hon., S.9; 
 Matr. Würzburg, Nr.7539; 
 Krafft, Jesuiten, S.334; 
 Heß, Nr.1688; 
 De Back.-Som. IV, Sp. 9 f. hier: Eintritt in den Jesuitenorden am 26.11.1669 in Mainz) 
"
2591,6037,OCR,Franz Hack,NaN,Funktionsausübung,NaN,NaN,1680 # 1682 # 1683 # 1684 # 1685,1680 # 1682 # 1683 # 1684 # 1685,NaN,NaN,Professor,Mainz,"Universität Mainz, Philosophische Fakultät",NaN,NaN,"er war in Mainz Professor an der Artistenfakultät und lehrte 1680 Humaniora, 1682 Logik, 1683 Physik, 1684 Metaphysik und Ethik und war 1685 Promotor",NaN,NaN," Cat. Jes.1700, S.21 Nr.4; 
 Aula hon., S.9; 
 Matr. Würzburg, Nr.7539; 
 Krafft, Jesuiten, S.334; 
 Heß, Nr.1688; 
 De Back.-Som. IV, Sp. 9 f. hier: Eintritt in den Jesuitenorden am 26.11.1669 in Mainz) 
"
2614,6247,OCR,Franz Huben,NaN,Funktionsausübung,NaN,NaN,1716 # 1717 # 1718,1716 # 1717 # 1718,NaN,NaN,Lehrer,Mainz,"Universität Mainz, Philosophische Fakultät",NaN,NaN,"in Mainz Assessor der Artistenfakultät, Professor publicus et Ordinarius, lehrte er 1716 Logik, 1717 Physik und Mathematik, 1718 Metaphysik und Ethik",NaN,NaN," Praetorius, Professoren, S.136; 
 RPh 95r, 97r; 
 Matr. Würzburg, Nr.10179; 
 Matr. Heidelberg IV, S.425; 
 Cat. Jes.1726, S.101 Nr.5; 
 Krafft, Jesuiten, S.337; 
 De Back.-Som. IV, Sp.493 f.) 
"
2615,6247,OCR,Franz Huben,NaN,Funktionsausübung,NaN,NaN,1716 # 1717 # 1718,1716 # 1717 # 1718,NaN,NaN,Professor,Mainz,"Universität Mainz, Philosophische Fakultät",NaN,NaN,"in Mainz Assessor der Artistenfakultät, Professor publicus et Ordinarius, lehrte er 1716 Logik, 1717 Physik und Mathematik, 1718 Metaphysik und Ethik",NaN,NaN," Praetorius, Professoren, S.136; 
 RPh 95r, 97r; 
 Matr. Würzburg, Nr.10179; 
 Matr. Heidelberg IV, S.425; 
 Cat. Jes.1726, S.101 Nr.5; 
 Krafft, Jesuiten, S.337; 
 De Back.-Som. IV, Sp.493 f.) 
"
2618,6246,OCR,Franz Huben,NaN,Immatrikulation,NaN,NaN,1700 # 1716,1700 # 1716,NaN,NaN,Dekan,"Heidelberg, Würzburg",NaN,NaN,NaN,"am 5.(7)12.1700 in Würzburg immatrikuliert, war 1716 in Heidelberg als Dekan der Philosophischen Fakultät und Promotor",NaN,NaN," Praetorius, Professoren, S.136; 
 RPh 95r, 97r; 
 Matr. Würzburg, Nr.10179; 
 Matr. Heidelberg IV, S.425; 
 Cat. Jes.1726, S.101 Nr.5; 
 Krafft, Jesuiten, S.337; 
 De Back.-Som. IV, Sp.493 f.) 
"
2619,6246,OCR,Franz Huben,NaN,Immatrikulation,NaN,NaN,1700 # 1716,1700 # 1716,NaN,NaN,Dekan,"Heidelberg, Würzburg",NaN,NaN,NaN,"am 5.(7)12.1700 in Würzburg immatrikuliert, war 1716 in Heidelberg als Dekan der Philosophischen Fakultät und Promotor",NaN,NaN," Praetorius, Professoren, S.136; 
 RPh 95r, 97r; 
 Matr. Würzburg, Nr.10179; 
 Matr. Heidelberg IV, S.425; 
 Cat. Jes.1726, S.101 Nr.5; 
 Krafft, Jesuiten, S.337; 
 De Back.-Som. IV, Sp.493 f.) 
"
2620,reconstruction,OCR,Franz Huben,NaN,Studium,NaN,NaN,1700 # 1716,NaN,1700 # 1716,NaN,Dekan,"Heidelberg, Würzburg",NaN,NaN,NaN,"am 5.(7)12.1700 in Würzburg immatrikuliert, war 1716 in Heidelberg als Dekan der Philosophischen Fakultät und Promotor",NaN,NaN," Praetorius, Professoren, S.136; 
 RPh 95r, 97r; 
 Matr. Würzburg, Nr.10179; 
 Matr. Heidelberg IV, S.425; 
 Cat. Jes.1726, S.101 Nr.5; 
 Krafft, Jesuiten, S.337; 
 De Back.-Som. IV, Sp.493 f.) 
"
2652,2637,OCR,Franz Ignaz Joseph Bodmann,NaN,Promotion,NaN,NaN,1780 # 1780,1780 # 1780,NaN,Dr.,Professor,NaN,Kurfürstentum Mainz,NaN,NaN,im August 1780 wurde er lt. Dekret des Kurfürsten zum Professor Ordinarius ernannt und am 19.8. 1780 zum Dr. jur. promoviert,NaN,NaN," Praetorius, Professoren, S.100; 
 RR II 288, 292, 295; 
 Matr. Würzburg, Nr.21548; 
 Prot, jur. Fac.1780, B1.96r; 
 Schmidt-Scharff, S. 311; 
 Mundt, Verzeichnis 1, Nr.3062; 
 Waldmann, S.73 f.; 
 Hermes, S.141; 
 Hofkal.1790, S.134; 
 1794, S.140; 
 StAD VI,1/7,4 Fo.24r; 
 VI,1/8,2 Fo.164; 
 VI,1/8,5 Fo.25r, 26r; 
 Scriba 2, S.63-67; 
 Pick, Reichsstaatsrecht, S.344, 397; 
 NDB 2, S.360 f.; 
 Leo Just und H. Mathy, Die Universität Mainz, Mainz 1965, S.35, 133; 
 H. Mathy, Die Universität Mainz 1477-1977, Mainz 1977, S.91, 145, 147, 210, 233 f., 245, 254, 259, 318, 335) 
"
2674,6283,OCR,Franz Jenni,NaN,Funktionsausübung,NaN,NaN,1733 # 1734,1733 # 1734,NaN,NaN,Lehrer,Mainz,"Universität Mainz, Philosophische Fakultät",NaN,NaN,"1733 lehrte er Metaphysik und Ethik an der Artistenfakultät in Mainz, war 1734 Assessor der Fakultät und Promotor",NaN,NaN," Praetorius, Professoren, S.137; 
 Cat. Jes., S.87 Nr.17; 
 RPh 150r; 
 Wormser Weihebuch, S. 59; 
 Krafft, Jesuiten, S.337) 
"
2681,3277,OCR,Franz Joseph Hartleben,NaN,Funktionsausübung,NaN,NaN,1779 # 1779-11-28,1779 # 1779-11-28,NaN,NaN,Professor,Mainz,Kurfürstentum Mainz,NaN,NaN,1779 o. Professor für Zivilrecht und Zivilprozeßrecht an der Universität in Mainz (Dekret vom Kurfürsten vom 28.11.1779),NaN,NaN," Praetorius, Professoren, S.100; 
 RR II 91; 
 Hainebach, S.74 Anm.4; 
 Mundt, Verzeichnis 1, Nr.5108; 
 Prot. jur. Fac., B1.90r, 90v, 91r, 95v; 
 Hofkal.1774, S.97; 
 1778, S.125; 
 Prot, jur. Fac. II, B1.12v; 
 Hermes, S.57; 
 Waldmann, S.68 f.; 
 ADB 10, S.667 f.; 
 StAD VI,1/ 7,4 Fo.24a; 
 H. Mathy, Das Gutachten des Juristen Franz Joseph Hartleben zur Reform der Mainzer Universität, 1783, in: Archiv f. hessische Geschichte u.Altertumskunde NF 30, 1967/70, S.169-245) 
"
2722,6920,OCR,Franz Karl Spoor,Sporr,Funktionsausübung,NaN,NaN,1786-10-29 # 1788,1786-10-29 # 1788,NaN,NaN,Professor,NaN,NaN,NaN,NaN,"seit dem 29.10.1786 war er a.o. Professor für Technologie, Fabrikwissenschaft und Handlungslehre sowie Staatswirtschaft, Polizei und Finanzwissenschaft, ab 1788 o. Professor der Cameralfakultät",NaN,NaN," Praetorius, Professoren, S.139; 
 Bockenheimer, S.41; 
 StAD VI,1/25,1 Fo.28v; 
 Prot, phil. Fak., S.264) 
"
2730,5131,OCR,Franz Kuno Bentzel,NaN,Funktionsausübung,1720 # 1724 # 1726,1721 # 1725 # 1727,1721-01-07 # 1724-12-12,1721-01-07 # 1724-12-12,NaN,NaN,Dekan,NaN,"Universität Mainz, Philosophische Fakultät",NaN,NaN,"er war Dekan der Artistenfakultät 1720-1721, 1724-1725 und 1726-1727 sowie Pro-Rektor 7.1.1721 und Rektor 12.12.1724",NaN,NaN," Praetorius, Professoren, S.136; 
 RPh 50r, 53r, 85r, 103r, 104r, 118r, 126r; 
 Aula hon., S.ll; 
 Prot. jur. Fac., Bl.38; 
 Matr. Salzburg Nr. 14376; 
 Gerlich, S.35)
"
2731,5131,OCR,Franz Kuno Bentzel,NaN,Funktionsausübung,1720 # 1724 # 1726,1721 # 1725 # 1727,1721-01-07 # 1724-12-12,1721-01-07 # 1724-12-12,NaN,NaN,Rektor,NaN,"Universität Mainz, Philosophische Fakultät",NaN,NaN,"er war Dekan der Artistenfakultät 1720-1721, 1724-1725 und 1726-1727 sowie Pro-Rektor 7.1.1721 und Rektor 12.12.1724",NaN,NaN," Praetorius, Professoren, S.136; 
 RPh 50r, 53r, 85r, 103r, 104r, 118r, 126r; 
 Aula hon., S.ll; 
 Prot. jur. Fac., Bl.38; 
 Matr. Salzburg Nr. 14376; 
 Gerlich, S.35)
"
2738,5126,OCR,Franz Kuno Bentzel,NaN,Studium,NaN,NaN,1706 # 1707,1706 # 1707,NaN,"bacc., phil./mag., phil.",Student,Mainz,Universität Mainz],NaN,NaN,"Studium in Mainz, 1706 bacc. phil., 1707 mag. phil.",NaN,NaN," Praetorius, Professoren, S.136; 
 RPh 50r, 53r, 85r, 103r, 104r, 118r, 126r; 
 Aula hon., S.ll; 
 Prot. jur. Fac., Bl.38; 
 Matr. Salzburg Nr. 14376; 
 Gerlich, S.35)
"
2748,4509,OCR,Franz Michael Hoepffner,Hepfner,Promotion,1770-06-18,NaN,1770-04-02 # 1770-04-06,1770-04-02 # 1770-04-06,NaN,"Dr., med.",Professor,"Mergentheim, Mainz",NaN,NaN,NaN,"Mergentheim bat am 2.4.1770 in Mainz um Zulassung zum Doktorexamen, wurde am 6.4.1770 mit Erfolg geprüft, verteidigte seine Theses inaugurales am 18.6.1770 unter dem Vorsitz von Professor Nauheimer und wurde von Professor Strack zum Dr. med. promoviert sowie zur Medizinischen Fakultät in Mainz zugelassen",NaN,NaN," Prot. med. Fak.1770, S.222 f.; 
 1773, S.277; 
 1779, S.378; 
 Terhalle, Med., S.136, 138; 
 StAD VI,1/1,4 Fo.427r, 428v; 
 H. Mathy, Medizinhistorische Miniaturen aus dem Bereich der Mainzer Universität vom Ende des 18.Jhs., in: Jahrbuch der Vereinigung""Freunde der Universität Mainz""12, 1963, S.66-123, hier S.92-96) 
 "
2784,5554,OCR,Franz Peter Decius,NaN,Funktionsausübung,1702 # 1706,1703 # 1707,1693 # 1694-06-06,1693 # 1694-06-06,NaN,NaN,Dekan,Mainz,"Universität Mainz, Philosophische Fakultät",NaN,NaN,"1693 bzw. 6.6.1694 war er Assessor der Artistenfakultät in Mainz, 1702-1703 und 1706-1707 Dekan der Fakultät",NaN,NaN," Praetorius, Professoren, S.136; 
 RPh 12r, 37r, 52v, 59r; 
 Aula hon., S. 10 f.) 
"
2814,2577,OCR,Franz Philipp Beusser,NaN,Funktionsausübung,NaN,NaN,1636 # 1646,1636 # 1646,NaN,Lic./Dr.,Sonstiges,Mainz],Universität Mainz],NaN,NaN,"1636 und 1646 wird er als Dr. jur., sonst als Lic. jur. genannt",NaN,NaN," Praetorius, Professoren, S.98; 
 Aula hon., S.6; 
 Reg. Univ. Mog., S.16, 19, 21, 23, 24, 25, 26, 27, 33; 
 Borg. B. 2.12.1641, 31; 
 Prot. med. Fak.1646, S.29; 
 K.A. Schaab, Die Geschichte der Erfindung der Buchdruckerkunst durch Johann Gensfleisch gen. Gutenberg zu Mainz, Bd.2, Mainz 1855, S.555; 
 Pick, Reichsstaatsrecht, S.43) 
"
2863,2374,OCR,Franz Philipp Wolff,NaN,Funktionsausübung,NaN,NaN,1731 # 1740,1731 # 1740,NaN,NaN,Domizellar,Mainz,Kurfürstentum Mainz/Kollegiatstift Liebfrauen Mainz,NaN,NaN,"er war Regens des Priesterseminars in Mainz, 1731 Domizellar in Liebfrauen, 1740 Kapitular, Inhaber der Universitätspräbende, Sigillifer und Bücherzensor, auch Kurfürstlich Geistlicher Rat",NaN,NaN," Prot, theol. Fak.1713, Bl.13b; 
 1714, Bl. 19a; 
 1720, Bl.27a; 
 1725, Bl.32b; 
 1745, Bl. 50a; 
 RTh 17r, 17v, 23r, 26v; 
 RPh 67v; 
 Mainzer Zeitschrift 62, 1967, S.106 f.; 
 Dürr, S.93; 
 Prot. jur. Fac.1744, Bl.73; 
 Brück, Theol. Fak., S.21) 
"
2864,2374,OCR,Franz Philipp Wolff,NaN,Funktionsausübung,NaN,NaN,1731 # 1740,1731 # 1740,NaN,NaN,Kapitularherr,Mainz,Kurfürstentum Mainz/Kollegiatstift Liebfrauen Mainz,NaN,NaN,"er war Regens des Priesterseminars in Mainz, 1731 Domizellar in Liebfrauen, 1740 Kapitular, Inhaber der Universitätspräbende, Sigillifer und Bücherzensor, auch Kurfürstlich Geistlicher Rat",NaN,NaN," Prot, theol. Fak.1713, Bl.13b; 
 1714, Bl. 19a; 
 1720, Bl.27a; 
 1725, Bl.32b; 
 1745, Bl. 50a; 
 RTh 17r, 17v, 23r, 26v; 
 RPh 67v; 
 Mainzer Zeitschrift 62, 1967, S.106 f.; 
 Dürr, S.93; 
 Prot. jur. Fac.1744, Bl.73; 
 Brück, Theol. Fak., S.21) 
"
2865,2374,OCR,Franz Philipp Wolff,NaN,Funktionsausübung,NaN,NaN,1731 # 1740,1731 # 1740,NaN,NaN,Priester,Mainz,Kurfürstentum Mainz/Kollegiatstift Liebfrauen Mainz,NaN,NaN,"er war Regens des Priesterseminars in Mainz, 1731 Domizellar in Liebfrauen, 1740 Kapitular, Inhaber der Universitätspräbende, Sigillifer und Bücherzensor, auch Kurfürstlich Geistlicher Rat",NaN,NaN," Prot, theol. Fak.1713, Bl.13b; 
 1714, Bl. 19a; 
 1720, Bl.27a; 
 1725, Bl.32b; 
 1745, Bl. 50a; 
 RTh 17r, 17v, 23r, 26v; 
 RPh 67v; 
 Mainzer Zeitschrift 62, 1967, S.106 f.; 
 Dürr, S.93; 
 Prot. jur. Fac.1744, Bl.73; 
 Brück, Theol. Fak., S.21) 
"
